,energy demand post building upgrades,net renewable energy production,supply and demand,storage state
97,101.52646029872734,526.0,424.47353970127267,4700.0
98,100.47185235639053,530.0,429.5281476436095,4700.0
99,105.31144245830762,496.0,390.6885575416924,4700.0
100,52.59535090387766,440.0,387.40464909612234,4700.0
101,103.31807041960349,402.0,298.6819295803965,4700.0
102,175.2165699656452,372.0,196.7834300343548,4700.0
103,312.4475581000685,348.0,35.55244189993152,4700.0
104,384.4526221390811,336.0,-48.452622139081086,4646.163753178799
105,311.06311594346033,400.8,89.73688405653968,4700.0
106,455.5726701281004,538.25,82.67732987189959,4700.0
107,303.1495744704841,653.2,350.05042552951596,4700.0
108,296.59044724182064,701.65,405.05955275817934,4700.0
109,288.1493403151184,689.0,400.8506596848816,4700.0
110,406.93946945083724,631.3,224.36053054916272,4700.0
111,368.52441523836524,578.05,209.52558476163472,4700.0
